Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
20983,B002QWP89S,A21U4DR8M6I9QN,"K. M Merrill ""justine""",1,1,5,1318896000,addictive! but works for night coughing in dogs,"my 12 year old sheltie has chronic brochotitis, been on meds for three years, these help with the coughing fits at night. so I like them!!!<br /> one bite and both my dogs are addicted!!! be warned!!! 7 pm both shelties are on my lap howling for the drug fix! I am a dog trainer and have never seen  anything like it....<br /><br />three weeks later,, the beloved sheltie got a bowel blockage from these, use with caution.<br />if the cat gets too many she has the runs....<br />sheltie did better when i upped her thryoid meds, and gave her doggie asthma meds.<br />so it worked better for the 18 year old cat, who also has asthma."
20984,B002QWP89S,A17TDUBB4Z1PEC,jaded_green,1,1,5,1318550400,genuine Greenies best price,"These are genuine Greenies product, not a knockoff.  My dogs love them!  It is their favorite treat.  I have 2 small dogs, both under 10 lbs. and the Teenie size is perfect for them.  I paid $22.37 for this 96-pack and it is by far the best price I have found anywhere.  I wish these were part of the Subscribe & Save program."
20985,B002QWP89S,ABQH3WAWMSMBH,tenisbrat87,1,1,5,1317168000,Perfect for our little doggies,"Our dogs love Greenies, but of course, which doggies don't?  I bought this for my dashchund and minpin, and it's perfect!  A great price for a great product.  Who could ask for more."
20986,B002QWP89S,AVTY5M74VA1BJ,tarotqueen,1,1,5,1316822400,dogs love greenies,"What can I say, dogs love greenies. They begg for them all the time. They always sit by the cupboard and ask for more."
20987,B002QWP89S,A13TNN54ZEAUB1,dcz2221,1,1,5,1316736000,Greenies review,This review is for a box of Greenies Lite for my dog. The package came quickly and was packaged appropriately. I was very satisfied with this purchase and with the seller.
20988,B002QWP89S,A1AO8A38JUDVAF,chrisdd,1,1,5,1315180800,Magic Breath Chews for your dog,I highly recommend these chews for your dog. They do exactly what they say that they will do; freshen your dog's breath!<br /><br />I found them to be significantly cheaper to buy them at Amazon compared to the chain pet stores; at least $10 cheaper as of Sept. 2011.<br /><br />I have read that some dogs do not chew them well enough and have choked. I have not had that happen to my dog but it is probably something you need to take into consideration.<br /><br />My advice is to buy a smaller bag at a pet store first and see if they work for your animal. Then come back and buy them here!
20989,B002QWP89S,AH261OMJCV5U8,"Chelle ""Wichita, Kansas""",1,1,5,1314316800,Greenies for Seniors,I have always used Greenies for my dogs. THese for seniors are wonderful. I have an elderly bulldog with really bad breath. She used to swallow the original Greenies whole so I quit buying them for her. She actually does chew these and eat them and they make a big difference in how her breath smells. Great product and the price is better than I have seen it in some local pet stores.
20990,B002QWP89S,A3VVIU4JE56U4K,P. Chevalier,1,1,5,1314316800,Kinda Pricy but good!,"If you've got hard chewers (like one of our dogs), these things won't really work for the 'brushing' aspect -- they're bussted up and swallowed pretty quickly. We have three Chihuahua mixes, and they dispatched these petite ones too quickly, so we get them the next size up (small, I think). But the product is good, and they really do help a bit with breath -- although the biggest bad-breath-maker is teeth that need brushing, and there is no substitute for real brushing/cleaning.  These are good as part of the process though. We have, and will continue to purchase this product."
20991,B002QWP89S,A3MWZ2E112KIY4,J. Nakawatase,1,1,5,1313884800,DOG LOVES THESE,"I tried Greenies on my dog about 8 years ago and he won't eat them.  So I tried dental rawhide chews which he chewed just fine.  My dog is now 13 years old and he started to swallow the dental rawhide whole and would choke on them.  I'm not sure because of his age that he tries to swallow them whole, but I'm sure it's not good for him.  I thought I would try the Greenies again because the reviews are good and they break into bits when chewed.  I order the large Greenies for him and he loves them.  I'm not sure if they changed the taste or what, but he chews them, and hopefully it will help maintain his teeth."
20992,B002QWP89S,A2PRQXWZRHTKE3,Maria Karlsson,1,1,5,1313193600,Great treat and good for dental health,"This is a fabulous treat for my little cavalier king charles. He looks forward to it after his daily dental cleaning. I cut each greenie into smaller pieces, because JB (for James Bond) has long ears and he chews on the smaller pieces without letting anything fall on the floor and sticking to his ears."
20993,B002QWP89S,A3TDMH1Z8CUBAF,JuneauGal,1,1,5,1310083200,My dogs love these chews!,"I am the lucky parent of three dogs. I alternate their teeth cleaning chews and they love the Greenies and the Checkups best. Thanks to Amazon, I don't have to pay for S&H, which living in Alaska, usually costs a fortune!! Thank you Amazon!! I prefer to purchase from our local pet store, but they aren't able to get the Greenies or the Checkups, so I'm very happy that I can order them through Amazon."
20994,B002QWP89S,A37565LZHTG1VH,C. Maltese,1,1,5,1305331200,Awesome!,This is a great product. My 2 year old Golden Retriever hates to have his teeth brushed and this product made his teeth white again. Great seller and great price too!
20995,B002QWP89S,A3C6UEDOZGF8D5,gracefultiger,1,1,4,1292630400,My cat loves the dog greenies,"I was looking for a way to help clean my cat's teeth so at first I tried the feline greenies,but he wouldn't have anything to do with those. I went to the local pet store looking for an alternative and the clerk suggested trying the dog greenies instead. I was skeptical at first so I only bought a couple of individually wrapped samples. Well, my cat absolutely loves the dog greenies! They do seem to help his breath, but I don't know how much they help the plaque and tartar build up. Oh well, it has become the only treat he likes so I will keep buying bulk boxes. I give him one every day, occasionally two, if I need to bribe him to stay inside when I open the door."
20996,B002QWP89S,A3NNJ2VVOCMRLN,Melisa Sobalvarro,1,1,4,1282608000,whiten your dogs teeth,"Greenies are an excellant way to whiten your dogs teeth. The costs were much lower here, than what you can buy locally at the dog food stores. They have made a great improvment in my dog(s) breath, tarter and overall mouth smell!"
20997,B002QWP89S,A28I1BP8N7I8A0,My Pen Name,1,1,4,1281571200,Dogs love them - Owners hate paying for them!,"My dogs are addicted to these things and it's my fault.  Whether or not they are good for my dog's teeth and digestive health is up in the air. All I know is that it keeps them quiet and they will do anything for them.<br /><br />I would lower the star ratings based on the fact that the manufacturer knows they have, some what, of a monopoly and charge an inordinate amount for these treats; yet, I am dumb enough to buy them so it's basically my fault.<br /><br />At least by buying on Amazon you are saving some dollar bills as compared to a traditional brick and mortar.<br /><br />My only gripe is that by the time you get to the end of the box, even if you seal the bag, they get significantly harder and I am somewhat concerned that they will splinter.<br /><br />Also, be sure to watch over your dog when he eats them, just to be safe."
20998,B002QWP89S,AHSWZSAXI8BPS,shoodow,1,1,4,1280880000,likes it,"this product does help to cleen the teeth, but doesnt really help to get rid of the bad breath of my pom..But still a good buy, cause the size is perfect for small breed dogs"
20999,B002QWP89S,A1OU45ZINNK7YV,J. Heldman,1,1,4,1277078400,My dogs' teeth are pearly white,"My dogs love their Greenies, and their teeth are pearly white from chewing on them.  The only problem is that Greenies are expensive, so I buy them in bulk on Amazon to keep the prices down a little bit,"
21000,B002QWP89S,A3NYAP2AZPWQJ5,Swiss Miss,1,1,5,1275004800,My dog loves these,My dog loves greenies - she waits for them everyday!  We give her one regular sized one per day and the teenies as treats for going outside etc.  I have heard that these do not digest easily if your dog is not a chewer.  My dog is a chewer so it works out great.  She is addicted!
21001,B002QWP89S,A31H9N00DB65HO,S. Ruzek,1,1,5,1272672000,Our dog loves her Greenies!,"Super fast shipping, even included a couple trial treats.  Our dog loves these and we'll be purchasing them again!"
21002,B002QWP89S,A1LNPBV70N2T02,"Sonja Haywood Megens ""Sonja""",1,1,5,1272153600,Good Deal for my Good Dog,My dog looks forward to a Greenie dessert everyday.  You will NOT find this deal at the local pet stores.  I love the fact that I get a good deal at Amazon.  I save time and gas.  My dog thanks us both.
21003,B002QWP89S,A2L28WZD5RW60T,"Harry G. Kohler ""MathGuy""",1,1,5,1264809600,Greenies,"Perform as promised.  No problems with ""blobs"" since my dog chews 'em up real well."
21004,B002QWP89S,ANOAFB0GOMU5C,"Vivian A. Robaldo ""Viv""",1,1,5,1264464000,My dogs love them!,"Great treat for all doggies, very healthy and they adore them.  Excellent and fast shipping,will buy again."
21005,B002QWP89S,A2C64W88KUQKYO,"Patricia L. Terho ""BookWormette""",1,1,5,1262822400,Teenie Greenies,"My little dogs really like these ""teenie"" Greenies dental chewies. Not only are they good for the dogs' teeth, the dogs consider them a treat! I am not able to find these really small Greenies elsewhere; the smallest I can find in the stores are ""petites"" which are too large for these little dogs to chew.  So, thank you for making these available.  I was very pleased with the service; these arrived here quickly and in excellent condition!  I will order from this website again!"
21006,B002QWP89S,A2ZNIKXT764IV4,"Sue ""suezieqt""",1,1,5,1262131200,Expensive treats but my dogs LOVE them!,"I have two Airedales.  They aren't fussy eaters - or snackers - but each gets a Greenie at bedtime.  We let them out in the yard for a bit before they go to bed and all I have to do is say ""Time for your Greenies!"" to make them race for the house and dance around until they get that bedtime snack.  It's their special treat and I love the fact that they actually have to chew them moderately slowly instead of just inhaling them!  The only drawback is that they're expensive."
21007,B002QWP89S,A3GON8WVDICI9P,Garrick Hinaga,1,1,5,1259366400,Very happy with purchase,I was very happy with the quick delivery and how I was given a tracking method to determine where my Greenies were. I'll telling my friends and relatives about the good experience.
21008,B002QWP89S,AJYYLJ7QYT0H4,My Opinion,1,1,4,1258675200,My Dog Loves Them,What can I say my dog goes crazy over these things - wish I really understood what are in them that makes it so desirable...now if we could only do this for vegetables so kids would be excited!!
21009,B002QWP89S,A30F5VJRO3095U,Ailoa Sweet,1,1,5,1256688000,My Silky Terrier loves these!,"He weighs 15 pounds, so he is just at the top of the range for the teenie size Greenies.  He likes them so much, he would probably prefer the Jumbo size!  I've given him these for his whole life, so I don't know if they get his teeth any cleaner than without them, but his teeth look pretty clean to me!"
21010,B002QWP89S,A1F5004VYZ3AXH,"L. Ellis ""lellis""",1,1,5,1252713600,Great for dog breath and teeth,Ive been buying this product for a few years and am very happy with it. My dog loves them.
